id,tz,sleep_from,sleep_to,sched,hours,rating,comment,framerate,snore,noise,cycles,deepsleep,lenadjust,geo,tags
1679613085102,Europe/Amsterdam,2023-03-24 00:11:00,2023-03-24 07:48:00,2023-03-24 08:00:00,7.61,0.0, #watch       #geo1,10008,60,0.04157652,8,0.41304347,-4,e08d6816,"watch,geo1"
1679530026733,Europe/Amsterdam,2023-03-23 01:07:00,2023-03-23 07:36:00,2023-03-23 07:25:00,6.49,0.0, #watch  #geo1,10008,30,0.046014402,0,-1.0,-10,e08d6816,"watch,geo1"
1679437299995,Europe/Amsterdam,2023-03-21 23:21:00,2023-03-22 07:20:00,2023-03-22 07:25:00,7.98,0.0, #watch #newmoon  #geo1,10008,1620,0.032965727,7,0.36458334,-82,e08d6816,"watch,newmoon,geo1"
1679354560166,Europe/Amsterdam,2023-03-21 00:22:00,2023-03-21 07:16:00,2023-03-21 07:25:00,6.9,0.0, #watch    #geo1,10008,420,0.11788914,7,0.3493976,-90,e08d6816,"watch,geo1"
1679266914306,Europe/Amsterdam,2023-03-20 00:01:00,2023-03-20 07:14:00,2023-03-20 07:25:00,7.21,0.0, #watch    #geo1,10008,0,0.03419623,7,0.4,-7,e08d6816,"watch,geo1"
1679186362391,Europe/Amsterdam,2023-03-19 01:39:00,2023-03-19 09:16:00,2023-03-19 09:00:00,7.62,0.0, #watch    #geo1,10008,4170,0.036603276,-1,-1.0,-16,e08d6816,"watch,geo1"
1679115896674,Europe/Amsterdam,2023-03-18 06:04:00,2023-03-18 11:51:00,2023-03-18 11:15:00,5.78,0.0, #watch  #geo0,10008,0,0.07962617,-1,-1.0,-15,e0875c91,"watch,geo0"
1678923577717,Europe/Amsterdam,2023-03-16 00:39:00,2023-03-16 07:36:00,2023-03-16 07:25:00,6.94,0.0, #watch   #geo1,10008,0,0.037081096,6,0.58181816,-23,e08d6816,"watch,geo1"
1678838835342,Europe/Amsterdam,2023-03-15 01:07:00,2023-03-15 07:27:00,2023-03-15 07:25:00,6.34,0.0, #watch  #geo1,10008,240,0.034441724,3,0.31521335,-13,e08d6816,"watch,geo1"
1678748717204,Europe/Amsterdam,2023-03-14 00:05:00,2023-03-14 08:03:00,2023-03-14 08:10:00,7.97,0.0, #watch #auto      #geo1,10008,960,0.037602413,8,0.4,-27,e08d6816,"watch,auto,geo1"
1678662143720,Europe/Amsterdam,2023-03-13 00:02:00,2023-03-13 07:26:00,2023-03-13 07:25:00,7.4,0.0, #watch    #geo1,10008,960,0.05739361,5,0.39325842,-28,e08d6816,"watch,geo1"
1678495046380,Europe/Amsterdam,2023-03-11 01:37:00,2023-03-11 09:50:00,2023-03-11 09:30:00,8.21,0.0, #watch  #geo1,10008,1290,0.03450592,7,0.5733333,-11,e08d6816,"watch,geo1"
1678406464987,Europe/Amsterdam,2023-03-10 01:01:00,2023-03-10 07:50:00,2023-03-10 08:00:00,6.83,0.0, #watch     #geo1,10008,660,0.021287374,6,0.3292683,-2,e08d6816,"watch,geo1"
1678314629702,Europe/Amsterdam,2023-03-08 23:30:00,2023-03-09 07:36:00,2023-03-09 07:25:00,8.1,0.0, #watch       #geo1,10008,1770,0.04118119,0,0.0,-32,e08d6816,"watch,geo1"
1678231595720,Europe/Amsterdam,2023-03-08 00:26:00,2023-03-08 07:36:00,2023-03-08 07:25:00,7.16,0.0, #watch #fullmoon       #geo1,10008,210,0.029772822,6,0.4,-36,e08d6816,"watch,fullmoon,geo1"
1678146101983,Europe/Amsterdam,2023-03-07 00:41:00,2023-03-07 07:35:00,2023-03-07 07:25:00,6.89,0.0, #watch #fullmoon   #geo1,10008,1740,0.03853311,6,0.3493976,-16,e08d6816,"watch,fullmoon,geo1"
1678057810837,Europe/Amsterdam,2023-03-06 00:10:00,2023-03-06 07:17:00,2023-03-06 07:20:00,7.12,0.0, #watch   #geo1,10008,1200,0.055903606,7,0.3512482,-30,e08d6816,"watch,geo1"
