id,sleep_year,sleep_month,sleep_week,sleep_day_of_week,sleep_day_of_month,sleep_from,sleep_to,sched,hours,lenadjust,corrected_hours,rating,snore,noise,cycles,deepsleep,geo
1679956612362,2023,03,13,1,27,0.6,7.883333333333333,7.416666666666667,7.27,-59.0,6.286666666666666,0.0,660,0.04852438,6,0.37831202,e08d6816
1679871781724,2023,03,12,0,26,1.05,8.183333333333334,7.416666666666667,7.14,-19.0,6.823333333333333,0.0,60,0.033237092,7,0.39534885,e08d6816
1679786738661,2023,03,12,6,25,0.4166666666666667,9.566666666666666,10.0,8.15,-112.0,6.283333333333333,0.0,600,0.06510325,-1,-1.0,e08d6816
1679706431337,2023,03,12,5,24,2.1166666666666667,9.733333333333333,10.0,7.62,-24.0,7.22,0.0,0,0.065942094,5,0.33695653,e08d6816
1679613085102,2023,03,12,4,23,0.18333333333333332,7.8,8.0,7.61,-4.0,7.543333333333334,0.0,60,0.04157652,8,0.41304347,e08d6816
1679530026733,2023,03,12,3,22,1.1166666666666667,7.6,7.416666666666667,6.49,-10.0,6.323333333333333,0.0,30,0.046014402,0,-1.0,e08d6816
1679437299995,2023,03,12,2,21,-0.65,7.333333333333333,7.416666666666667,7.98,-82.0,6.613333333333333,0.0,1620,0.032965727,7,0.36458334,e08d6816
1679354560166,2023,03,12,1,20,0.36666666666666664,7.266666666666667,7.416666666666667,6.9,-90.0,5.4,0.0,420,0.11788914,7,0.3493976,e08d6816
1679266914306,2023,03,11,0,19,0.016666666666666666,7.233333333333333,7.416666666666667,7.21,-7.0,7.093333333333334,0.0,0,0.03419623,7,0.4,e08d6816
1679186362391,2023,03,11,6,18,1.65,9.266666666666667,9.0,7.62,-16.0,7.3533333333333335,0.0,4170,0.036603276,-1,-1.0,e08d6816
1679115896674,2023,03,11,5,17,6.066666666666666,11.85,11.25,5.78,-15.0,5.53,0.0,0,0.07962617,-1,-1.0,e0875c91
1678923577717,2023,03,11,3,15,0.65,7.6,7.416666666666667,6.94,-23.0,6.556666666666667,0.0,0,0.037081096,6,0.58181816,e08d6816
1678838835342,2023,03,11,2,14,1.1166666666666667,7.45,7.416666666666667,6.34,-13.0,6.123333333333333,0.0,240,0.034441724,3,0.31521335,e08d6816
1678748717204,2023,03,11,1,13,0.08333333333333333,8.05,8.166666666666666,7.97,-27.0,7.52,0.0,960,0.037602413,8,0.4,e08d6816
1678662143720,2023,03,10,0,12,0.03333333333333333,7.433333333333334,7.416666666666667,7.4,-28.0,6.933333333333334,0.0,960,0.05739361,5,0.39325842,e08d6816
1678495046380,2023,03,10,5,10,1.6166666666666667,9.833333333333334,9.5,8.21,-11.0,8.026666666666667,0.0,1290,0.03450592,7,0.5733333,e08d6816
1678406464987,2023,03,10,4,09,1.0166666666666666,7.833333333333333,8.0,6.83,-2.0,6.796666666666667,0.0,660,0.021287374,6,0.3292683,e08d6816
1678314629702,2023,03,10,3,08,-0.5,7.6,7.416666666666667,8.1,-32.0,7.566666666666666,0.0,1770,0.04118119,0,0.0,e08d6816
1678231595720,2023,03,10,2,07,0.43333333333333335,7.6,7.416666666666667,7.16,-36.0,6.5600000000000005,0.0,210,0.029772822,6,0.4,e08d6816
1678146101983,2023,03,10,1,06,0.6833333333333333,7.583333333333333,7.416666666666667,6.89,-16.0,6.623333333333333,0.0,1740,0.03853311,6,0.3493976,e08d6816
1678057810837,2023,03,09,0,05,0.16666666666666666,7.283333333333333,7.333333333333333,7.12,-30.0,6.62,0.0,1200,0.055903606,7,0.3512482,e08d6816
1677981180913,2023,03,09,6,04,2.8833333333333333,10.2,11.0,7.33,-32.0,6.796666666666667,0.0,1140,0.031494033,7,0.4318182,e08d6816
1677890166105,2023,03,09,5,03,1.6,9.5,9.5,7.9,-19.0,7.583333333333334,0.0,900,0.4738431,0,-1.0,e08d6816
1677799042156,2023,03,09,4,02,0.2833333333333333,7.866666666666667,8.0,7.59,-18.0,7.29,0.0,1020,0.04635494,8,0.41706043,e08d6816
1677715068342,2023,03,09,3,01,0.95,7.283333333333333,7.333333333333333,6.33,-11.0,6.1466666666666665,0.0,300,0.032173645,4,0.23684211,e08d6816
1677630216345,2023,02,09,2,28,1.3833333333333333,7.383333333333334,7.333333333333333,6.0,-37.0,5.383333333333333,0.0,630,0.030975096,6,0.6388733,e08d6816
1677539524541,2023,02,09,1,27,0.2,7.433333333333334,7.333333333333333,7.25,-17.0,6.966666666666667,0.0,2460,0.046911538,7,0.4090909,e08d6816
1677455985610,2023,02,08,0,26,0.9833333333333333,7.433333333333334,7.333333333333333,6.44,-22.0,6.073333333333334,0.0,1110,0.020459274,-1,-1.0,e08d6816
1677368021225,2023,02,08,6,25,0.55,9.433333333333334,8.333333333333334,8.89,-89.0,7.406666666666667,0.0,840,0.07723628,6,0.26168224,e08d6816
1677278267014,2023,02,08,5,24,-0.3833333333333333,8.516666666666667,8.333333333333334,8.9,-14.0,8.666666666666668,0.0,360,0.037711263,8,0.4597701,e08d6816
1677193850598,2023,02,08,4,23,0.16666666666666666,7.766666666666667,8.0,7.6,-11.0,7.416666666666666,0.0,2520,0.040954437,6,0.3152174,e08d6816
1677108759851,2023,02,08,3,22,0.5333333333333333,7.166666666666667,7.333333333333333,6.63,-41.0,5.946666666666666,0.0,1260,0.07035708,3,0.275,e08d6816
1677019645693,2023,02,08,2,21,-0.21666666666666667,7.216666666666667,7.333333333333333,7.44,-24.0,7.04,0.0,480,0.07460863,5,0.3810499,e08d6816
1676933987090,2023,02,08,1,20,-0.01666666666666672,7.333333333333333,7.333333333333333,7.35,-8.0,7.216666666666666,0.0,60,0.039708104,9,0.38565055,e08d6816
1676848163632,2023,02,07,0,19,0.15,7.433333333333334,7.333333333333333,7.28,-13.0,7.0633333333333335,0.0,60,0.04453541,5,0.36363637,e08d6816
1676769967582,2023,02,07,6,18,2.4333333333333336,10.516666666666667,10.333333333333334,8.1,-22.0,7.733333333333333,0.0,450,0.047483888,8,0.37755102,e08d6816
1676677139339,2023,02,07,5,17,0.6333333333333333,9.15,9.0,8.51,-32.0,7.976666666666667,0.0,1860,0.057394266,8,0.4,e08d6816
1676614100830,2023,02,07,4,16,7.133333333333334,7.583333333333333,7.383333333333334,0.45,-14.0,0.21666666666666667,0.0,0,0.106245086,0,0.0,e08d6816
1676586182154,2023,02,07,4,16,-0.6166666666666667,7.133333333333334,7.333333333333333,7.75,-71.0,6.566666666666666,0.0,420,0.06254965,7,0.3332249,e08d6816
1676502403204,2023,02,07,3,15,0.1,7.433333333333334,7.333333333333333,7.32,-37.0,6.703333333333333,0.0,930,0.06350419,6,0.4090909,e08d6816
1676417307899,2023,02,07,2,14,0.4666666666666667,7.433333333333334,7.333333333333333,6.97,-11.0,6.786666666666666,0.0,90,0.027051346,5,0.3690476,e08d6816
1676329575179,2023,02,07,1,13,0.1,7.116666666666666,7.333333333333333,7.02,-31.0,6.503333333333333,0.75,570,0.053351186,7,0.35714287,e08d6816
1676241653278,2023,02,06,0,12,-0.33333333333333337,6.8,7.0,7.13,-30.0,6.63,0.0,360,0.05901771,6,0.3255814,e08d6816
1676168003938,2023,02,06,6,11,3.216666666666667,10.783333333333333,10.5,7.57,-68.0,6.436666666666667,0.0,930,0.017379066,8,0.53968257,e08d6816
1676075828375,2023,02,06,5,10,1.6166666666666667,9.783333333333333,9.5,8.17,-108.0,6.37,0.0,210,0.05058143,7,0.41836736,e08d6816
1675987130529,2023,02,06,4,09,0.9666666666666667,7.483333333333333,7.5,6.51,-20.0,6.176666666666667,0.0,0,0.070171535,5,0.42213178,e014c8ef
1675897862680,2023,02,06,3,08,0.18333333333333332,7.233333333333333,7.333333333333333,7.06,-26.0,6.626666666666666,0.0,0,0.04676265,8,0.5411765,e014c8ef
1675811846472,2023,02,06,2,07,0.2833333333333333,7.133333333333334,7.25,6.85,-17.0,6.566666666666666,0.0,0,0.03660127,5,0.41374153,e014c8ef
1675725706985,2023,02,06,1,06,0.35,7.3,7.25,6.95,-37.0,6.333333333333334,0.0,0,0.038087714,6,0.4047619,e014c8ef
1675633483780,2023,02,05,0,05,-1.2666666666666666,5.833333333333333,5.75,7.1,-56.0,6.166666666666666,0.0,330,0.057556327,10,0.4926623,e08d6816
1675559271286,2023,02,05,6,04,2.1166666666666667,9.816666666666666,11.0,7.7,-121.0,5.683333333333334,0.0,540,0.12601341,7,0.37634408,e08d6816
1675477181364,2023,02,05,5,03,3.3166666666666664,11.483333333333333,10.0,8.16,-41.0,7.476666666666667,0.0,1260,0.051622998,6,0.40816328,e08d6816
1675381381893,2023,02,05,4,02,0.7166666666666667,9.5,8.0,8.79,-114.0,6.889999999999999,0.0,2280,0.08076404,9,0.36792454,e08d6816
1675294670174,2023,02,05,3,01,0.6166666666666667,9.35,8.0,8.73,-76.0,7.463333333333334,0.0,300,0.068285264,4,0.2857143,e08d6816
1675211197055,2023,01,05,2,31,1.4333333333333333,9.416666666666666,8.0,7.98,-66.0,6.880000000000001,0.0,600,0.07756627,5,0.25316456,e08d6816
1675119803203,2023,01,05,1,30,0.05,8.566666666666666,8.0,8.53,-63.0,7.4799999999999995,0.0,330,0.059374403,8,0.36893204,e08d6816
1675035785799,2023,01,04,0,29,0.7166666666666667,8.45,8.0,7.73,-60.0,6.73,0.0,1290,0.074280344,4,0.1827957,e08d6816
1674956053753,2023,01,04,6,28,2.5666666666666664,10.483333333333333,10.0,7.91,-51.0,7.0600000000000005,0.0,1110,0.043247655,8,0.36842105,e08d6816
1674866005008,2023,01,04,5,27,1.55,9.6,9.0,8.04,-26.0,7.606666666666666,0.0,810,0.028438902,7,0.36082473,e08d6816
1674776589606,2023,01,04,4,26,0.7166666666666667,9.366666666666667,8.0,8.66,-50.0,7.826666666666667,0.0,2040,0.08980912,8,0.3653846,e08d6816
1674691113150,2023,01,04,3,25,0.9666666666666667,8.666666666666666,8.0,7.7,-136.0,5.433333333333334,0.0,900,0.083985575,7,0.43010753,e08d6816
1674604609085,2023,01,04,2,24,0.9333333333333333,8.9,8.0,7.96,-100.0,6.293333333333333,0.0,0,0.07426439,6,0.3125,e08d6816
1674516619775,2023,01,04,1,23,0.5,8.116666666666667,8.0,7.61,-37.0,6.993333333333334,0.0,720,0.10145557,7,0.5,e08d6816
1674431201206,2023,01,03,0,22,0.7666666666666667,8.933333333333334,8.0,8.16,-86.0,6.726666666666667,0.0,870,0.0766011,7,0.62222224,e08d6816
1674347201218,2023,01,03,6,21,1.4333333333333333,10.266666666666667,9.5,8.84,-66.0,7.74,0.0,1860,0.043626666,2,0.15068494,e08d6816
1674256404962,2023,01,03,5,20,0.21666666666666667,8.433333333333334,8.5,8.22,-3.0,8.17,0.0,2070,0.026694886,10,0.7676768,e08d6816
1674171040190,2023,01,03,4,19,0.5,9.25,8.0,8.74,-58.0,7.773333333333333,0.0,600,0.08498318,8,0.51428574,e08d6816
1674085114479,2023,01,03,3,18,0.6333333333333333,8.45,8.0,7.81,-58.0,6.843333333333333,0.0,2160,0.07258651,9,0.68085104,e08d6816
1673996929062,2023,01,03,2,17,0.13333333333333333,8.616666666666667,8.0,8.48,-57.0,7.53,0.0,930,0.06578683,5,0.74509805,e08d6816
1673832578488,2023,01,02,0,15,2.4833333333333334,8.433333333333334,8.0,5.95,-50.0,5.116666666666667,0.0,60,0.022195527,3,0.125,e08d6816
1673742052308,2023,01,02,6,14,1.3333333333333333,9.55,9.25,8.21,-46.0,7.443333333333334,0.0,2160,0.049884103,6,0.43434343,e08d6816
1673665137843,2023,01,02,5,13,3.966666666666667,11.316666666666666,8.0,7.34,-31.0,6.823333333333333,0.0,0,0.07408252,2,0.8876405,e08d6816
1673563286630,2023,01,02,4,12,-0.31666666666666665,0.43333333333333335,8.0,0.75,-2.0,0.7166666666666667,0.0,0,0.09232037,1,0.76086956,e08d6816
1673478925942,2023,01,02,3,11,0.25,8.133333333333333,8.0,7.89,-31.0,7.373333333333333,0.0,1290,0.044358093,7,0.8,e08d6816
1673400094438,2023,01,02,2,10,2.35,8.45,8.0,6.1,-29.0,5.616666666666666,0.0,1440,0.048658404,4,0.2027027,e08d6816
1673310214463,2023,01,02,1,09,1.3833333333333333,8.083333333333334,6.0,6.7,-10.0,6.533333333333333,0.0,0,0.03050047,4,0.8333333,e08d6816
1673221616894,2023,01,01,0,08,0.7666666666666667,8.133333333333333,8.0,7.36,-35.0,6.776666666666667,0.0,210,0.0305356,3,0.11235955,e08d6816
1673134954691,2023,01,01,6,07,0.7,7.5,8.0,6.8,-8.0,6.666666666666666,0.0,180,0.046757217,3,0.1369863,e08d6816
